地名,センター（center.csvを使わない場合は空白化）,生ごみ,可燃系埋立ごみ,不燃系埋立ごみ,ペットボトル,プラスチック製容器,かん,びん,新聞紙,雑誌,ダンボール,紙パック,雑がみ,発泡スチロール,紙製容器,白色トレイ,危険ごみ,金属類,木くず,粗大ごみ,剪定枝,草
大町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
瀬越町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
港町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
明元町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
幸町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
本町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,水3（12月は水2　3月は水4）,水1（6月9月のみ）,水1:7 10
錦町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,金3（4月7月9月3月は金4）,金1（6月9月のみ　9月は金2）,金2（7月10月のみ　10月は金1）
栄町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,金3（4月7月9月3月は金4）,金1（6月9月のみ　9月は金2）,金2（7月10月のみ　10月は金1）
開運町,,月 木,月,木,水,水,月,月,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月1　月3（1月は月2　月4）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月2　月4（1月は月3　月5）,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,金3（4月7月9月3月は金4）,金1（6月9月のみ　9月は金2）,金2（7月10月のみ　10月は金1）
宮園町,,月 木,月,木,水,水,木,木,木1　木3,木1　木3,木1　木3,木1　木3,木2　木4,木2　木4,木2　木4,木2　木4,月3（11月は月2）,月3（11月は月2）,月3（11月は月2）,金3（4月7月9月3月は金4）,金1（6月9月のみ　9月は金2）,金2（7月10月のみ　10月は金1）
